Date,Price,Note
2009-03-17,103900000 gp,
2009-03-18,102900000 gp,
2009-03-19,102900000 gp,
2009-03-20,102900000 gp,
2009-03-21,102900000 gp,
2009-03-22,102900000 gp,
2009-03-23,101900000 gp,
2009-03-24,101900000 gp,
2009-03-25,102300000 gp,
2009-03-26,103200000 gp,
2009-03-27,103200000 gp,
2009-03-28,104200000 gp,
2009-03-29,104200000 gp,
2009-03-30,105300000 gp,
2009-03-31,106300000 gp,
2009-04-01,107300000 gp,
2009-04-02,107300000 gp,
2009-04-03,108400000 gp,
2009-04-04,110600000 gp,
2009-04-05,110600000 gp,
2009-04-06,111700000 gp,
2009-04-07,112800000 gp,
2009-04-08,113900000 gp,
2009-04-09,115100000 gp,
2009-04-10,116200000 gp,
2009-04-11,117300000 gp,
2009-04-12,118500000 gp,
2009-04-13,118500000 gp,
2009-04-14,120700000 gp,
2009-04-15,120700000 gp,
2009-04-16,120700000 gp,
2009-04-17,121900000 gp,
2009-04-18,123100000 gp,
2009-04-19,123100000 gp,
2009-04-20,123100000 gp,
2009-04-21,124300000 gp,
2009-04-22,124300000 gp,
2009-04-23,124300000 gp,
2009-04-24,125600000 gp,
2009-04-25,125600000 gp,
2009-04-26,124900000 gp,
2009-04-27,124900000 gp,
2009-04-28,123700000 gp,
2009-04-29,123700000 gp,
2009-04-30,123700000 gp,
2009-05-01,123700000 gp,
2009-05-02,122500000 gp,
2009-05-03,122500000 gp,
2009-05-04,122500000 gp,
2009-05-05,122500000 gp,
2009-05-06,122500000 gp,
2009-05-07,122500000 gp,
2009-05-08,122500000 gp,
2009-05-09,122100000 gp,
2009-05-10,122100000 gp,
2009-05-11,123300000 gp,
2009-05-12,123300000 gp,
2009-05-13,124500000 gp,
2009-05-14,124500000 gp,
2009-05-15,124500000 gp,
2009-05-16,124500000 gp,
2009-05-17,125700000 gp,
2009-05-18,125700000 gp,
2009-05-19,125700000 gp,
2009-05-20,126900000 gp,
2009-05-21,126900000 gp,
2009-05-22,126900000 gp,
2009-05-23,126900000 gp,
2009-05-24,128100000 gp,
2009-05-25,128100000 gp,
2009-05-26,128100000 gp,
2009-05-27,129400000 gp,
2009-05-28,129400000 gp,
2009-05-29,129400000 gp,
2009-05-30,129400000 gp,
2009-05-31,130400000 gp,
2009-06-01,130400000 gp,
2009-06-02,130400000 gp,
2009-06-03,130400000 gp,
2009-06-04,131400000 gp,
2009-06-05,131400000 gp,
2009-06-06,131400000 gp,
2009-06-07,131400000 gp,
2009-06-08,132700000 gp,
2009-06-09,132700000 gp,
2009-06-10,132700000 gp,
2009-06-11,134000000 gp,
2009-06-12,134000000 gp,
2009-06-13,134000000 gp,
2009-06-14,135300000 gp,
2009-06-15,135300000 gp,
2009-06-16,135300000 gp,
2009-06-17,136600000 gp,
2009-06-18,136600000 gp,
2009-06-19,136600000 gp,
2009-06-20,138000000 gp,
2009-06-21,138000000 gp,
2009-06-22,139300000 gp,
2009-06-23,140700000 gp,
2009-06-24,140700000 gp,
2009-06-25,140700000 gp,
2009-06-26,142100000 gp,
2009-06-27,143500000 gp,
2009-06-28,143500000 gp,
2009-06-29,144900000 gp,
2009-06-30,146300000 gp,
2009-07-02,147800000 gp,
2009-07-03,149200000 gp,
2009-07-04,149200000 gp,
2009-07-05,150700000 gp,
2009-07-06,152200000 gp,
2009-07-07,153700000 gp,
2009-07-08,153700000 gp,
2009-07-09,155200000 gp,
2009-07-10,158300000 gp,
2009-07-11,158300000 gp,
2009-07-12,159900000 gp,
2009-07-13,161500000 gp,
2009-07-14,161500000 gp,
2009-07-15,163100000 gp,
2009-07-16,163100000 gp,
2009-07-17,164700000 gp,
2009-07-18,166300000 gp,
2009-07-19,166300000 gp,
2009-07-20,168000000 gp,
2009-07-21,169700000 gp,
2009-07-22,169700000 gp,
2009-07-23,171400000 gp,
2009-07-24,171400000 gp,
2009-07-25,173100000 gp,
2009-07-26,174800000 gp,
2009-07-27,174800000 gp,
2009-07-28,176600000 gp,
2009-07-29,176600000 gp,
2009-07-30,178300000 gp,
2009-07-31,178300000 gp,
2009-08-01,180100000 gp,
2009-08-02,181900000 gp,
2009-08-03,181900000 gp,
2009-08-04,183300000 gp,
2009-08-05,183300000 gp,
2009-08-06,185100000 gp,
2009-08-07,185100000 gp,
2009-08-08,186900000 gp,
2009-08-09,186900000 gp,
2009-08-10,188800000 gp,
2009-08-11,188800000 gp,
2009-08-12,190700000 gp,
2009-08-13,190700000 gp,
2009-08-14,192600000 gp,
2009-08-15,192600000 gp,
2009-08-16,192600000 gp,
2009-08-17,194500000 gp,
2009-08-18,196400000 gp,
2009-08-19,196400000 gp,
2009-08-20,198400000 gp,
2009-08-21,198400000 gp,
2009-08-22,198400000 gp,
2009-08-23,199700000 gp,
2009-08-24,199700000 gp,
2009-08-25,199700000 gp,
2009-08-26,201700000 gp,
2009-08-27,201700000 gp,
2009-08-28,203700000 gp,
2009-08-29,203700000 gp,
2009-08-30,205800000 gp,
2009-08-31,205800000 gp,
2009-09-01,207800000 gp,
2009-09-02,207800000 gp,
2009-09-03,207800000 gp,
2009-09-04,209900000 gp,
2009-09-05,209900000 gp,
2009-09-06,212000000 gp,
2009-09-07,212000000 gp,
2009-09-08,214100000 gp,
2009-09-09,214100000 gp,
2009-09-10,214100000 gp,
2009-09-11,215700000 gp,
2009-09-12,215700000 gp,
2009-09-13,217800000 gp,
2009-09-14,217800000 gp,
2009-09-15,220000000 gp,
