Date,Price,Note
2009-10-03,240000 gp,
2009-10-04,241800 gp,
2009-10-05,241800 gp,
2009-10-06,253900 gp,
2009-10-07,242500 gp,
2009-10-08,230400 gp,
2009-10-09,218900 gp,
2009-10-10,228600 gp,
2009-10-11,228600 gp,
2009-10-12,227100 gp,
2009-10-13,227100 gp,
2009-10-14,235900 gp,
2009-10-15,242000 gp,
2009-10-16,242000 gp,
2009-10-17,231900 gp,
2009-10-18,228900 gp,
2009-10-19,240400 gp,
2009-10-20,264500 gp,
2009-10-21,277600 gp,
2009-10-22,280000 gp,
2009-10-23,293700 gp,
2009-10-24,318500 gp,
2009-10-25,332200 gp,
2009-10-26,332200 gp,
2009-10-27,284900 gp,
2009-10-28,270900 gp,
2009-10-29,244900 gp,
2009-10-30,224100 gp,
2009-10-31,214500 gp,
2009-11-01,225300 gp,
2009-11-02,236500 gp,
2009-11-03,242600 gp,
2009-11-04,237500 gp,
2009-11-05,237500 gp,
2009-11-06,229300 gp,
2009-11-07,229300 gp,
2009-11-08,233000 gp,
2009-11-09,233200 gp,
2009-11-10,239400 gp,
2009-11-11,239400 gp,
2009-11-12,240500 gp,
2009-11-13,245200 gp,
2009-11-14,237600 gp,
2009-11-15,230700 gp,
2009-11-16,231200 gp,
2009-11-17,224600 gp,
2009-11-18,224600 gp,
2009-11-19,228200 gp,
2009-11-20,246900 gp,
2009-11-21,259200 gp,
2009-11-22,259200 gp,
2009-11-23,263100 gp,
2009-11-24,249900 gp,
2009-11-25,237600 gp,
2009-11-26,231400 gp,
2009-11-27,229600 gp,
2009-11-28,232800 gp,
2009-11-29,241000 gp,
2009-11-30,241000 gp,
2009-12-01,236100 gp,
2009-12-02,224400 gp,
2009-12-03,206500 gp,
2009-12-04,206500 gp,
2009-12-05,221600 gp,
2009-12-06,225100 gp,
2009-12-07,225100 gp,
2009-12-08,220200 gp,
2009-12-09,215300 gp,
2009-12-10,215300 gp,
2009-12-11,226000 gp,
2009-12-12,237300 gp,
2009-12-13,246600 gp,
2009-12-14,258500 gp,
2009-12-15,258000 gp,
2009-12-16,233300 gp,
2009-12-17,233300 gp,
2009-12-18,221700 gp,
2009-12-19,214700 gp,
2009-12-20,227100 gp,
2009-12-21,227100 gp,
2009-12-22,218900 gp,
2009-12-23,221400 gp,
2009-12-24,229100 gp,
2009-12-25,232300 gp,
2009-12-26,229000 gp,
2009-12-27,229000 gp,
2009-12-28,232700 gp,
2009-12-29,232700 gp,
2009-12-30,241100 gp,
2009-12-31,242800 gp,
2010-01-01,248200 gp,
2010-01-02,247000 gp,
2010-01-03,245600 gp,
2010-01-04,245600 gp,
2010-01-05,245600 gp,
2010-01-06,251900 gp,
2010-01-07,276200 gp,
2010-01-08,290000 gp,
2010-01-09,303400 gp,
2010-01-10,303400 gp,
2010-01-11,334300 gp,
2010-01-12,334300 gp,
2010-01-13,368500 gp,
2010-01-14,368500 gp,
2010-01-15,406200 gp,
2010-01-16,426600 gp,
2010-01-17,426600 gp,
2010-01-18,401800 gp,
2010-01-19,383600 gp,
2010-01-20,383600 gp,
2010-01-21,375500 gp,
2010-01-22,375500 gp,
2010-01-23,413200 gp,
2010-01-24,413200 gp,
2010-01-25,433800 gp,
2010-01-26,452600 gp,
2010-01-27,475200 gp,
2010-01-28,521500 gp,
2010-01-29,547600 gp,
2010-01-30,574900 gp,
2010-01-31,603500 gp,
2010-02-01,603500 gp,
2010-02-02,665400 gp,
2010-02-03,665400 gp,
2010-02-04,698700 gp,
2010-02-05,733600 gp,
2010-02-06,796000 gp,
2010-02-07,833700 gp,
2010-02-08,833700 gp,
2010-02-09,855300 gp,
2010-02-10,827400 gp,
2010-02-12,789500 gp,
2010-02-13,713100 gp,
2010-02-14,677400 gp,
2010-02-15,677400 gp,
2010-02-16,643900 gp,
2010-02-17,581200 gp,
2010-02-18,552100 gp,
2010-02-19,552100 gp,
2010-02-20,524500 gp,
2010-02-21,473500 gp,
2010-02-22,473500 gp,
2010-02-23,430800 gp,
2010-02-24,420400 gp,
2010-02-25,432200 gp,
2010-02-26,432200 gp,
2010-02-27,453600 gp,
2010-02-28,433300 gp,
2010-03-01,433300 gp,
2010-03-02,412600 gp,
2010-03-03,434100 gp,
2010-03-04,434100 gp,
2010-03-05,455400 gp,
2010-03-06,478100 gp,
2010-03-07,500800 gp,
2010-03-08,524700 gp,
2010-03-09,550700 gp,
2010-03-10,578000 gp,
2010-03-11,606500 gp,
2010-03-12,668200 gp,
2010-03-13,701200 gp,
2010-03-14,735900 gp,
2010-03-15,735900 gp,
2010-03-16,735900 gp,
2010-03-17,699100 gp,
2010-03-18,664200 gp,
2010-03-19,631000 gp,
2010-03-20,599600 gp,
2010-03-21,541200 gp,
2010-03-22,514100 gp,
2010-03-23,514100 gp,
2010-03-24,464000 gp,
2010-03-25,440800 gp,
2010-03-26,440800 gp,
2010-03-27,418800 gp,
2010-03-28,397800 gp,
2010-03-29,378000 gp,
2010-03-30,359100 gp,
2010-03-31,341200 gp,
2010-04-01,324600 gp,
2010-04-02,321300 gp,
2010-04-03,332700 gp,
2010-04-04,348500 gp,
2010-04-05,334800 gp,
2010-04-06,334800 gp,
2010-04-07,321600 gp,
2010-04-08,300800 gp,
2010-04-09,300800 gp,
2010-04-10,289600 gp,
2010-04-11,275200 gp,
2010-04-12,252200 gp,
2010-04-13,252200 gp,
2010-04-14,248200 gp,
2010-04-15,266000 gp,
2010-04-16,266000 gp,
2010-04-17,293300 gp,
2010-04-18,304500 gp,
2010-04-19,304500 gp,
2010-04-20,275900 gp,
2010-04-21,275900 gp,
2010-04-22,254700 gp,
2010-04-23,254700 gp,
2010-04-24,252600 gp,
2010-04-25,251300 gp,
2010-04-26,260000 gp,
2010-04-27,268100 gp,
2010-04-28,268100 gp,
2010-04-29,277500 gp,
2010-04-30,282200 gp,
2010-05-01,273500 gp,
2010-05-02,255800 gp,
2010-05-03,255800 gp,
2010-05-04,274800 gp,
2010-05-05,274800 gp,
2010-05-06,270400 gp,
2010-05-07,270400 gp,
2010-05-08,249300 gp,
2010-05-09,249300 gp,
2010-05-10,250700 gp,
2010-05-11,249200 gp,
2010-05-12,250400 gp,
2010-05-13,250800 gp,
2010-05-14,263100 gp,
2010-05-15,274300 gp,
2010-05-16,269800 gp,
2010-05-17,256500 gp,
2010-05-18,249200 gp,
2010-05-19,249200 gp,
2010-05-20,260700 gp,
2010-05-21,273100 gp,
2010-05-22,263300 gp,
2010-05-23,250200 gp,
2010-05-24,246900 gp,
2010-05-25,251100 gp,
2010-05-26,251100 gp,
2010-05-27,249600 gp,
2010-05-28,240200 gp,
2010-05-29,235300 gp,
2010-05-30,239600 gp,
2010-05-31,244900 gp,
2010-06-01,246100 gp,
2010-06-02,246100 gp,
2010-06-03,239800 gp,
2010-06-04,235100 gp,
2010-06-05,240700 gp,
2010-06-06,240100 gp,
2010-06-07,238700 gp,
2010-06-08,238700 gp,
2010-06-09,243700 gp,
2010-06-10,230200 gp,
2010-06-11,230200 gp,
2010-06-12,228300 gp,
2010-06-13,232900 gp,
2010-06-14,251100 gp,
2010-06-15,249200 gp,
2010-06-16,249200 gp,
2010-06-17,246600 gp,
2010-06-18,246600 gp,
2010-06-19,242600 gp,
2010-06-20,241900 gp,
2010-06-21,242100 gp,
2010-06-22,242100 gp,
2010-06-23,237900 gp,
2010-06-24,237900 gp,
2010-06-25,240900 gp,
2010-06-26,244100 gp,
2010-06-27,244700 gp,
2010-06-28,239100 gp,
2010-06-29,231400 gp,
2010-06-30,231400 gp,
2010-07-01,226800 gp,
2010-07-02,230300 gp,
2010-07-03,234700 gp,
2010-07-04,229000 gp,
2010-07-05,229000 gp,
2010-07-06,224100 gp,
2010-07-07,214600 gp,
2010-07-08,213900 gp,
2010-07-09,213900 gp,
2010-07-10,219100 gp,
2010-07-11,228300 gp,
2010-07-12,221400 gp,
2010-07-13,221400 gp,
2010-07-14,210500 gp,
2010-07-15,210500 gp,
2010-07-16,210200 gp,
2010-07-17,206400 gp,
2010-07-18,198100 gp,
2010-07-19,195200 gp,
2010-07-20,195200 gp,
2010-07-21,195700 gp,
2010-07-22,202900 gp,
2010-07-23,202900 gp,
2010-07-24,212800 gp,
2010-07-25,210800 gp,
2010-07-26,202800 gp,
2010-07-27,194400 gp,
2010-07-28,177500 gp,
2010-07-29,177500 gp,
2010-07-30,179200 gp,
2010-07-31,179200 gp,
2010-08-01,170300 gp,
2010-08-02,170300 gp,
2010-08-03,171600 gp,
2010-08-04,187700 gp,
2010-08-05,187700 gp,
2010-08-06,184100 gp,
2010-08-07,175700 gp,
2010-08-08,167900 gp,
2010-08-09,166600 gp,
2010-08-10,173700 gp,
2010-08-11,173700 gp,
2010-08-12,176700 gp,
2010-08-13,176800 gp,
2010-08-14,175700 gp,
2010-08-15,167600 gp,
2010-08-16,168200 gp,
2010-08-17,168200 gp,
2010-08-18,183700 gp,
2010-08-19,183700 gp,
2010-08-20,186100 gp,
2010-08-21,183700 gp,
2010-08-22,191400 gp,
2010-08-23,200900 gp,
2010-08-24,210900 gp,
2010-08-25,232500 gp,
2010-08-26,244100 gp,
2010-08-27,244100 gp,
2010-08-28,256300 gp,
2010-08-29,282500 gp,
2010-08-30,295600 gp,
2010-08-31,310400 gp,
2010-09-01,310400 gp,
2010-09-02,325000 gp,
2010-09-03,310100 gp,
2010-09-04,280000 gp,
2010-09-05,280000 gp,
2010-09-06,252700 gp,
2010-09-07,252700 gp,
2010-09-08,240100 gp,
2010-09-09,228100 gp,
2010-09-10,216700 gp,
2010-09-11,205800 gp,
2010-09-12,195600 gp,
2010-09-13,176900 gp,
2010-09-14,176900 gp,
2010-09-15,169000 gp,
2010-09-16,164400 gp,
2010-09-17,179700 gp,
2010-09-18,179700 gp,
2010-09-19,181300 gp,
2010-09-20,181300 gp,
2010-09-21,166900 gp,
2010-09-22,166900 gp,
2010-09-23,161300 gp,
2010-09-24,164900 gp,
2010-09-25,172800 gp,
2010-09-26,187800 gp,
2010-09-27,188300 gp,
2010-09-28,188300 gp,
2010-09-29,186900 gp,
2010-09-30,186900 gp,
2010-10-01,186400 gp,
2010-10-02,192800 gp,
2010-10-03,199600 gp,
2010-10-04,206500 gp,
2010-10-05,205300 gp,
2010-10-06,199400 gp,
2010-10-07,196600 gp,
2010-10-08,196600 gp,
2010-10-09,193800 gp,
2010-10-10,186100 gp,
2010-10-11,186100 gp,
2010-10-12,185400 gp,
2010-10-13,204400 gp,
2010-10-14,212300 gp,
2010-10-15,212300 gp,
2010-10-16,218600 gp,
2010-10-17,223000 gp,
2010-10-18,229000 gp,
2010-10-19,229000 gp,
2010-10-20,239500 gp,
2010-10-21,239500 gp,
2010-10-22,251400 gp,
2010-10-23,277100 gp,
2010-10-24,282200 gp,
2010-10-25,282200 gp,
2010-10-26,296300 gp,
2010-10-27,311100 gp,
2010-10-28,343000 gp,
2010-10-29,360100 gp,
2010-10-30,378100 gp,
2010-10-31,397000 gp,
2010-11-01,397000 gp,
2010-11-02,416800 gp,
2010-11-03,427800 gp,
2010-11-04,415300 gp,
2010-11-06,374900 gp,
2010-11-07,351800 gp,
2010-11-08,334200 gp,
2010-11-09,334200 gp,
2010-11-10,317800 gp,
2010-11-11,313600 gp,
2010-11-12,298000 gp,
2010-11-13,283100 gp,
2010-11-14,265900 gp,
2010-11-15,265900 gp,
2010-11-16,240000 gp,
2010-11-17,240000 gp,
2010-11-18,228000 gp,
2010-11-19,216600 gp,
2010-11-20,195500 gp,
