Date,Price,Note
2009-08-04,2300000 gp,
2009-08-05,2400000 gp,
2009-08-06,2500000 gp,
2009-08-07,2500000 gp,
2009-08-08,2500000 gp,
2009-08-09,2500000 gp,
2009-08-10,2600000 gp,
2009-08-11,2600000 gp,
2009-08-12,2700000 gp,
2009-08-13,2700000 gp,
2009-08-14,2600000 gp,
2009-08-15,2600000 gp,
2009-08-16,2600000 gp,
2009-08-17,2600000 gp,
2009-08-18,2700000 gp,
2009-08-19,2700000 gp,
2009-08-20,2700000 gp,
2009-08-21,2700000 gp,
2009-08-22,2600000 gp,
2009-08-23,2600000 gp,
2009-08-24,2500000 gp,
2009-08-25,2500000 gp,
2009-08-26,2500000 gp,
2009-08-27,2500000 gp,
2009-08-28,2600000 gp,
2009-08-29,2600000 gp,
2009-08-30,2700000 gp,
2009-08-31,2700000 gp,
2009-09-01,2700000 gp,
2009-09-02,2700000 gp,
2009-09-03,2700000 gp,
2009-09-04,2700000 gp,
2009-09-05,2800000 gp,
2009-09-06,2800000 gp,
2009-09-07,2800000 gp,
2009-09-08,2800000 gp,
2009-09-09,2700000 gp,
2009-09-10,2700000 gp,
2009-09-11,2800000 gp,
2009-09-12,2800000 gp,
2009-09-13,2900000 gp,
2009-09-14,2900000 gp,
2009-09-15,2800000 gp,
2009-09-16,2900000 gp,
2009-09-17,2900000 gp,
2009-09-18,2900000 gp,
2009-09-19,3000000 gp,
2009-09-20,3000000 gp,
2009-09-21,3000000 gp,
2009-09-22,3000000 gp,
2009-09-23,3000000 gp,
2009-09-24,2900000 gp,
2009-09-25,2900000 gp,
2009-09-26,2900000 gp,
2009-09-27,3000000 gp,
2009-09-28,3000000 gp,
2009-09-29,3100000 gp,
2009-09-30,3100000 gp,
2009-10-01,3000000 gp,
2009-10-02,3000000 gp,
2009-10-03,3000000 gp,
2009-10-04,3200000 gp,
2009-10-05,3200000 gp,
2009-10-06,3300000 gp,
2009-10-07,3300000 gp,
2009-10-08,3200000 gp,
2009-10-09,3200000 gp,
2009-10-10,3200000 gp,
2009-10-11,3200000 gp,
2009-10-12,3300000 gp,
2009-10-13,3300000 gp,
2009-10-14,3400000 gp,
2009-10-15,3400000 gp,
2009-10-16,3400000 gp,
2009-10-17,3500000 gp,
2009-10-18,3600000 gp,
2009-10-19,3600000 gp,
2009-10-20,3700000 gp,
2009-10-21,3700000 gp,
2009-10-22,3800000 gp,
2009-10-23,3900000 gp,
2009-10-24,4200000 gp,
2009-10-25,4000000 gp,
2009-10-26,3800000 gp,
2009-10-27,3400000 gp,
2009-10-28,3200000 gp,
2009-10-29,3100000 gp,
2009-10-30,3300000 gp,
2009-10-31,3400000 gp,
2009-11-01,3600000 gp,
2009-11-02,3600000 gp,
2009-11-03,3700000 gp,
2009-11-04,3600000 gp,
2009-11-05,3600000 gp,
2009-11-06,3600000 gp,
2009-11-07,3600000 gp,
2009-11-08,3600000 gp,
2009-11-09,3600000 gp,
2009-11-10,3500000 gp,
2009-11-11,3500000 gp,
2009-11-12,3600000 gp,
2009-11-13,3600000 gp,
2009-11-14,3700000 gp,
2009-11-15,3600000 gp,
2009-11-16,3600000 gp,
2009-11-17,3600000 gp,
2009-11-18,3600000 gp,
2009-11-19,3600000 gp,
2009-11-20,3500000 gp,
2009-11-21,3500000 gp,
2009-11-22,3500000 gp,
2009-11-23,3500000 gp,
2009-11-24,3500000 gp,
2009-11-25,3600000 gp,
2009-11-26,3600000 gp,
2009-11-27,3600000 gp,
2009-11-28,3600000 gp,
2009-11-29,3500000 gp,
2009-11-30,3500000 gp,
2009-12-01,3500000 gp,
2009-12-02,3400000 gp,
2009-12-03,3300000 gp,
2009-12-04,3300000 gp,
2009-12-05,3500000 gp,
2009-12-06,3500000 gp,
2009-12-07,3500000 gp,
2009-12-08,3500000 gp,
2009-12-09,3500000 gp,
2009-12-10,3500000 gp,
2009-12-11,3500000 gp,
2009-12-12,3500000 gp,
2009-12-13,3500000 gp,
2009-12-14,3500000 gp,
2009-12-15,3500000 gp,
2009-12-16,3500000 gp,
2009-12-17,3500000 gp,
2009-12-18,3500000 gp,
2009-12-19,3500000 gp,
2009-12-20,3600000 gp,
2009-12-21,3600000 gp,
2009-12-22,3600000 gp,
2009-12-23,3700000 gp,
2009-12-24,3700000 gp,
2009-12-25,3700000 gp,
2009-12-26,3700000 gp,
2009-12-27,3700000 gp,
2009-12-28,3600000 gp,
2009-12-29,3600000 gp,
2009-12-30,3600000 gp,
2009-12-31,3600000 gp,
2010-01-01,3500000 gp,
2010-01-02,3400000 gp,
2010-01-03,3300000 gp,
2010-01-04,3300000 gp,
2010-01-05,3300000 gp,
2010-01-06,3400000 gp,
2010-01-07,3400000 gp,
2010-01-08,3400000 gp,
2010-01-09,3400000 gp,
2010-01-10,3400000 gp,
2010-01-11,3400000 gp,
2010-01-12,3400000 gp,
2010-01-13,3400000 gp,
2010-01-14,3400000 gp,
2010-01-15,3400000 gp,
2010-01-16,3300000 gp,
2010-01-17,3300000 gp,
2010-01-18,3500000 gp,
2010-01-19,3700000 gp,
2010-01-20,3700000 gp,
2010-01-21,4100000 gp,
2010-01-22,4100000 gp,
2010-01-23,4000000 gp,
2010-01-24,4000000 gp,
2010-01-25,3800000 gp,
2010-01-26,3600000 gp,
2010-01-27,3500000 gp,
2010-01-28,3500000 gp,
2010-01-29,3500000 gp,
2010-01-30,3500000 gp,
2010-01-31,3400000 gp,
2010-02-01,3400000 gp,
2010-02-02,3400000 gp,
2010-02-03,3400000 gp,
2010-02-04,3400000 gp,
2010-02-05,3400000 gp,
2010-02-06,3500000 gp,
2010-02-07,3500000 gp,
2010-02-08,3500000 gp,
2010-02-09,3400000 gp,
2010-02-10,3400000 gp,
2010-02-12,3400000 gp,
2010-02-13,3400000 gp,
2010-02-14,3400000 gp,
2010-02-15,3400000 gp,
2010-02-16,3400000 gp,
2010-02-17,3400000 gp,
2010-02-18,3400000 gp,
2010-02-19,3400000 gp,
2010-02-20,3300000 gp,
2010-02-21,3300000 gp,
2010-02-22,3300000 gp,
2010-02-23,3200000 gp,
2010-02-24,3200000 gp,
2010-02-25,3200000 gp,
2010-02-26,3200000 gp,
2010-02-27,3100000 gp,
2010-02-28,3100000 gp,
2010-03-01,2900000 gp,
2010-03-02,2900000 gp,
2010-03-03,3100000 gp,
2010-03-04,3100000 gp,
2010-03-05,3200000 gp,
2010-03-06,3200000 gp,
2010-03-07,3200000 gp,
2010-03-08,3100000 gp,
2010-03-09,3100000 gp,
2010-03-10,3100000 gp,
2010-03-11,3000000 gp,
2010-03-12,3000000 gp,
2010-03-13,3200000 gp,
2010-03-14,3200000 gp,
2010-03-15,3200000 gp,
2010-03-16,3200000 gp,
2010-03-17,3200000 gp,
2010-03-18,3200000 gp,
2010-03-19,3200000 gp,
2010-03-20,3200000 gp,
2010-03-21,3300000 gp,
2010-03-22,3300000 gp,
2010-03-23,3300000 gp,
2010-03-24,3200000 gp,
2010-03-25,3200000 gp,
2010-03-26,3200000 gp,
2010-03-27,3200000 gp,
2010-03-28,3200000 gp,
2010-03-29,3300000 gp,
2010-03-30,3300000 gp,
2010-03-31,3200000 gp,
2010-04-01,3200000 gp,
2010-04-02,3200000 gp,
2010-04-03,3300000 gp,
2010-04-04,3300000 gp,
2010-04-05,3300000 gp,
2010-04-06,3300000 gp,
2010-04-07,3300000 gp,
2010-04-08,3200000 gp,
2010-04-09,3200000 gp,
2010-04-10,3300000 gp,
2010-04-11,3300000 gp,
2010-04-12,3300000 gp,
2010-04-13,3300000 gp,
2010-04-14,3300000 gp,
2010-04-15,3300000 gp,
2010-04-16,3300000 gp,
2010-04-17,3300000 gp,
2010-04-18,3400000 gp,
2010-04-19,3400000 gp,
2010-04-20,3400000 gp,
2010-04-21,3400000 gp,
2010-04-22,3500000 gp,
2010-04-23,3500000 gp,
2010-04-24,3500000 gp,
2010-04-25,3500000 gp,
2010-04-26,3600000 gp,
2010-04-27,3500000 gp,
2010-04-28,3500000 gp,
2010-04-29,3500000 gp,
2010-04-30,3400000 gp,
2010-05-01,3500000 gp,
2010-05-02,3600000 gp,
2010-05-03,3600000 gp,
2010-05-04,3600000 gp,
2010-05-05,3600000 gp,
2010-05-06,3600000 gp,
2010-05-07,3600000 gp,
2010-05-08,3600000 gp,
2010-05-09,3600000 gp,
2010-05-10,3600000 gp,
2010-05-11,3700000 gp,
2010-05-12,3700000 gp,
2010-05-13,3800000 gp,
2010-05-14,3800000 gp,
2010-05-15,3900000 gp,
2010-05-16,3900000 gp,
2010-05-17,3900000 gp,
2010-05-18,3800000 gp,
2010-05-19,3800000 gp,
2010-05-20,3800000 gp,
2010-05-21,3700000 gp,
2010-05-22,3700000 gp,
2010-05-23,3700000 gp,
2010-05-24,3800000 gp,
2010-05-25,3900000 gp,
2010-05-26,3900000 gp,
2010-05-27,3900000 gp,
2010-05-28,4000000 gp,
2010-05-29,4000000 gp,
2010-05-30,4100000 gp,
2010-05-31,4000000 gp,
2010-06-01,4000000 gp,
2010-06-02,4000000 gp,
2010-06-03,3900000 gp,
2010-06-04,3900000 gp,
2010-06-05,3900000 gp,
2010-06-06,4000000 gp,
2010-06-07,4000000 gp,
2010-06-08,4100000 gp,
2010-06-09,4100000 gp,
2010-06-10,4000000 gp,
2010-06-11,4000000 gp,
2010-06-12,4000000 gp,
2010-06-13,3900000 gp,
2010-06-14,4000000 gp,
2010-06-15,4000000 gp,
2010-06-16,4000000 gp,
2010-06-17,3900000 gp,
2010-06-18,3900000 gp,
2010-06-19,3900000 gp,
2010-06-20,4000000 gp,
2010-06-21,4000000 gp,
2010-06-22,4000000 gp,
2010-06-23,4000000 gp,
2010-06-24,4000000 gp,
2010-06-25,4000000 gp,
2010-06-26,4100000 gp,
2010-06-27,4000000 gp,
2010-06-28,3900000 gp,
2010-06-29,3900000 gp,
2010-06-30,3900000 gp,
2010-07-01,4000000 gp,
2010-07-02,4000000 gp,
2010-07-03,3900000 gp,
2010-07-04,3800000 gp,
2010-07-05,3800000 gp,
2010-07-06,3800000 gp,
2010-07-07,3900000 gp,
2010-07-08,3900000 gp,
2010-07-09,3900000 gp,
2010-07-10,3800000 gp,
2010-07-11,3800000 gp,
2010-07-12,3800000 gp,
2010-07-13,3800000 gp,
2010-07-14,3700000 gp,
2010-07-15,3700000 gp,
2010-07-16,3700000 gp,
2010-07-17,3700000 gp,
2010-07-18,3600000 gp,
2010-07-19,3500000 gp,
